n_keep,beta,mu_wm,mu_rand,var_wm,var_rand,dprime,tau_alpha,TPR_at_tau,FPR_at_tau,bayes_error_Pe,overlap_area_approx
68,0.06640625,2.395593097590599,3.6514663209033618,0.7586180514733645,0.0054933519606542355,1.436704527451713,3.3181295955882355,0.8685714285714285,0.0,0.23627005625513614,0.4725401125102723
69,0.0673828125,2.4071701725866976,3.656944875776398,0.7608829390536296,0.00547146643241652,1.4276340599928143,3.3245584239130435,0.8628571428571429,0.0,0.23767016381166295,0.4753403276233259
70,0.068359375,2.418593703497024,3.6623681972789113,0.7630807824052301,0.005448733658191671,1.4187679547182512,3.3308872767857145,0.8552380952380952,0.0,0.23904311400981,0.47808622801962
71,0.0693359375,2.429878312845825,3.667731859909457,0.7651802465475582,0.0054264975814226355,1.4101095787192233,3.337367957746479,0.8514285714285714,0.0,0.24038807020489378,0.48077614040978756
72,0.0703125,2.441021831855572,3.6730372127149473,0.7671806189971891,0.0054054312735770434,1.4016600605980372,3.343777126736111,0.8495238095238096,0.0,0.2417045473071619,0.4834090946143238
73,0.0712890625,2.452054469636742,3.678288792400522,0.7690663195007521,0.005386097709704514,1.393400936925357,3.350171232876712,0.8457142857142858,0.0,0.24299513278572726,0.4859902655714545
74,0.072265625,2.462975002765042,3.6834898347007723,0.770822113922405,0.005367395351139009,1.3853489410969573,3.356418918918919,0.8457142857142858,0.0,0.2442569319193677,0.4885138638387354
75,0.0732421875,2.473777101934524,3.6886406746031746,0.7724757670789842,0.0053477711016991876,1.377485288623147,3.3628385416666666,0.8457142857142858,0.0,0.24549261755128926,0.4909852351025785
76,0.07421875,2.4844708267250155,3.693735657503133,0.7740099994180019,0.0053281942080042,1.3698040380241407,3.369140625,0.8457142857142858,0.0,0.24670287593399415,0.4934057518679883
77,0.0751953125,2.495138101760591,3.6987732877241806,0.7753143000428964,0.005309562427365338,1.3623037860340659,3.375304383116883,0.8457142857142858,0.0,0.24788769216230333,0.49577538432460666
78,0.076171875,2.5057026182367976,3.703752098595848,0.7764898303268133,0.0052920425282903544,1.354977104942465,3.381335136217949,0.8438095238095238,0.0,0.24904801541420007,0.49809603082840015
79,0.0771484375,2.516159554654536,3.7086827060729357,0.7775722505033303,0.005274982416206371,1.3478088654218554,3.3872379351265822,0.8438095238095238,0.0,0.25018603689413915,0.5003720737882783
80,0.078125,2.5265241873604913,3.713573102678571,0.7785462506855109,0.005258333223356154,1.3408022065435672,3.39306640625,0.8438095238095238,0.0,0.2513010657668011,0.5026021315336022
